Tiempo(s),EMG(V)
0.0,2.547154
0.001,2.552319
0.002,2.550382
0.003,2.540052
0.004,2.519715
0.005,2.491954
0.006,2.462256
0.007,2.434817
0.008,2.412543
0.009,2.402536
0.01,2.403828
0.011,2.416094
0.012,2.435785
0.013,2.462579
0.014,2.488726
0.015,2.513905
0.016,2.534242
0.017,2.548768
0.018,2.555547
0.019,2.555224
0.02,2.543926
0.021,2.523266
0.022,2.49615
0.023,2.467743
0.024,2.442887
0.025,2.42481
0.026,2.417708
0.027,2.420614
0.028,2.431912
0.029,2.449989
0.03,2.470972
0.031,2.49034
0.032,2.507126
0.033,2.519715
0.034,2.527463
0.035,2.528754
0.036,2.524235
0.037,2.511322
0.038,2.491631
0.039,2.468066
0.04,2.444824
0.041,2.427715
0.042,2.418677
0.043,2.419968
0.044,2.430943
0.045,2.447729
0.046,2.469035
0.047,2.491954
0.048,2.512936
0.049,2.529077
0.05,2.540375
0.051,2.543926
0.052,2.541021
0.053,2.5294
0.054,2.511322
0.055,2.483884
0.056,2.454831
0.057,2.427392
0.058,2.407378
0.059,2.398017
0.06,2.399308
0.061,2.410607
0.062,2.427715
0.063,2.449343
0.064,2.47194
0.065,2.491954
0.066,2.50874
0.067,2.51907
0.068,2.522298
0.069,2.517456
0.07,2.505835
0.071,2.484529
0.072,2.458059
0.073,2.431266
0.074,2.40641
0.075,2.390592
0.076,2.385428
0.077,2.392529
0.078,2.408024
0.079,2.429975
0.08,2.456445
0.081,2.480979
0.082,2.503575
0.083,2.51907
0.084,2.529722
0.085,2.533596
0.086,2.528431
0.087,2.515519
0.088,2.492922
0.089,2.465161
0.09,2.439336
0.091,2.416094
0.092,2.403828
0.093,2.401891
0.094,2.411898
0.095,2.430621
0.096,2.455477
0.097,2.48227
0.098,2.50648
0.099,2.527463
0.1,2.542312
0.101,2.551351
0.102,2.552319
0.103,2.544249
0.104,2.52714
0.105,2.501638
0.106,2.473231
0.107,2.446115
0.108,2.425778
0.109,2.413835
0.11,2.413512
0.111,2.422873
0.112,2.439336
0.113,2.46161
0.114,2.484207
0.115,2.506803
0.116,2.525849
0.117,2.538115
0.118,2.544894
0.119,2.545217
0.12,2.536824
0.121,2.518424
0.122,2.495505
0.123,2.471617
0.124,2.449989
0.125,2.435785
0.126,2.432235
0.127,2.438368
0.128,2.451926
0.129,2.47194
0.13,2.493245
0.131,2.515519
0.132,2.533596
0.133,2.5478
0.134,2.555547
0.135,2.557161
0.136,2.551996
0.137,2.537147
0.138,2.514873
0.139,2.490663
0.14,2.466775
0.141,2.448375
0.142,2.439982
0.143,2.442564
0.144,2.455154
0.145,2.475491
0.146,2.499379
0.147,2.523912
0.148,2.544894
0.149,2.562003
0.15,2.572333
0.151,2.575561
0.152,2.571687
0.153,2.559421
0.154,2.537147
0.155,2.509386
0.156,2.480333
0.157,2.453217
0.158,2.434171
0.159,2.425778
0.16,2.428684
0.161,2.443856
0.162,2.467743
0.163,2.494859
0.164,2.522944
0.165,2.548123
0.166,2.568459
0.167,2.58234
0.168,2.589119
0.169,2.587828
0.17,2.577821
0.171,2.557161
0.172,2.530691
0.173,2.502929
0.174,2.478073
0.175,2.460319
0.176,2.45354
0.177,2.457091
0.178,2.468389
0.179,2.486466
0.18,2.506158
0.181,2.525849
0.182,2.542312
0.183,2.555547
0.184,2.562649
0.185,2.564908
0.186,2.559744
0.187,2.546508
0.188,2.526172
0.189,2.503898
0.19,2.48227
0.191,2.467098
0.192,2.461933
0.193,2.467098
0.194,2.481947
0.195,2.505189
0.196,2.531659
0.197,2.558452
0.198,2.582017
0.199,2.597835
0.2,2.607196
0.201,2.606873
0.202,2.596866
0.203,2.578466
0.204,2.550705
0.205,2.515842
0.206,2.480656
0.207,2.448052
0.208,2.426101
0.209,2.416417
0.21,2.420614
0.211,2.437077
0.212,2.464193
0.213,2.496473
0.214,2.530045
0.215,2.560066
0.216,2.583954
0.217,2.60074
0.218,2.609133
0.219,2.609133
0.22,2.598158
0.221,2.574916
0.222,2.546186
0.223,2.513582
0.224,2.483884
0.225,2.460642
0.226,2.449343
0.227,2.447407
0.228,2.456445
0.229,2.472908
0.23,2.493568
0.231,2.514551
0.232,2.534242
0.233,2.549737
0.234,2.563294
0.235,2.570396
0.236,2.571365
0.237,2.562649
0.238,2.545217
0.239,2.522944
0.24,2.498733
0.241,2.479042
0.242,2.466129
0.243,2.462579
0.244,2.469035
0.245,2.481947
0.246,2.498733
0.247,2.519393
0.248,2.536501
0.249,2.550705
0.25,2.560066
0.251,2.564263
0.252,2.56394
0.253,2.554579
0.254,2.538438
0.255,2.514228
0.256,2.488726
0.257,2.465161
0.258,2.449989
0.259,2.444501
0.26,2.450957
0.261,2.465484
0.262,2.486466
0.263,2.510677
0.264,2.535856
0.265,2.556193
0.266,2.570396
0.267,2.578789
0.268,2.578789
0.269,2.571042
0.27,2.552965
0.271,2.528108
0.272,2.496473
0.273,2.466129
0.274,2.439659
0.275,2.42255
0.276,2.417385
0.277,2.425133
0.278,2.442564
0.279,2.466775
0.28,2.493568
0.281,2.520038
0.282,2.542958
0.283,2.558775
0.284,2.568782
0.285,2.570073
0.286,2.562972
0.287,2.544572
0.288,2.518424
0.289,2.487757
0.29,2.456122
0.291,2.429652
0.292,2.413512
0.293,2.408024
0.294,2.414157
0.295,2.428361
0.296,2.449343
0.297,2.471617
0.298,2.493891
0.299,2.512291
0.3,2.526817
0.301,2.534887
